n1,n2,loan_id,user,market,collateral_deposited,went_below_sl,went_into_sl,sl_max_depth,went_below_then_above_sl,into_then_above_sl,time_in_sl,time_below_sl,total_loan_time,initial_debt,loan_start_time,loan_start_block,loan_end_time,loan_end_block,should_be_liquidated,end_debt
-1,8,7,0x63Fe1742192f07D67739cc0f091645a2A50804E1,0x8472A9A7632b173c8Cf3a86D3afec50c35548e76,50.84658761808595,True,True,1.0,True,True,978432,158400,1209372,82544.8169688209,1686208391,17434331,1687417763,17533883,False,80723.58782528683
-7,2,9,0x63Fe1742192f07D67739cc0f091645a2A50804E1,0x8472A9A7632b173c8Cf3a86D3afec50c35548e76,55.120761066844786,True,True,1.0,False,True,3746772,4694400,8541960,89847.71682720305,1688422451,17616633,1696964411,18322300,False,84734.77376994705
-5,4,2,0xF9A2Fa22CB7Df26E3a10622C696f37fC345c6239,0x8472A9A7632b173c8Cf3a86D3afec50c35548e76,103.70568604695814,True,True,1.0,True,True,2896848,734400,3900996,176963.28578239967,1685369975,17365489,1689270971,17686496,False,169731.90172260196
-7,2,3,0xF9A2Fa22CB7Df26E3a10622C696f37fC345c6239,0x8472A9A7632b173c8Cf3a86D3afec50c35548e76,108.19361200978688,True,True,1.0,False,False,2923200,3139200,6138240,169731.90172260196,1689270971,17686496,1695409211,18193616,False,163058.99890197872
2,6,1,0x7c0025cf87140a6ddf1506CC981b3D700525B503,0x8472A9A7632b173c8Cf3a86D3afec50c35548e76,0.9753339758199309,True,True,1.0,True,True,777600,158400,1412424,1583.775078452611,1685994083,17416744,1687406507,17532955,False,1436.6918989207502
-2,2,2,0x7c0025cf87140a6ddf1506CC981b3D700525B503,0x8472A9A7632b173c8Cf3a86D3afec50c35548e76,0.9153339758199308,True,True,1.0,False,True,2044800,1641600,6505104,1436.6918989207502,1687406507,17532955,1693911611,18070137,False,1450.3642335359973
-5,4,4,0x7a16fF8270133F063aAb6C9977183D9e72835428,0x8472A9A7632b173c8Cf3a86D3afec50c35548e76,929.9339097091402,True,True,1.0,True,True,2956728,734400,3960804,1552603.3669322212,1685310095,17360555,1689270899,17686490,False,1427040.3319189837
-7,2,5,0x7a16fF8270133F063aAb6C9977183D9e72835428,0x8472A9A7632b173c8Cf3a86D3afec50c35548e76,929.9339097091402,True,True,1.0,False,False,2923200,792000,3791112,1427040.3319189837,1689270899,17686490,1693062011,17999893,False,1377364.5372391755
1,5,32,0x823Dafe1FcDd9e36387AFB542497e837c85B50F4,0x8472A9A7632b173c8Cf3a86D3afec50c35548e76,203.11363870720015,True,True,1.0,False,False,71988,14400,1397892,337255.9330433873,1690915319,17822309,1692313211,17937968,False,303122.971859219
-11,-2,13,0x6D2c4e33aE0a98B9115cD57B5097940f64dE2F61,0x8472A9A7632b173c8Cf3a86D3afec50c35548e76,18.829921539159834,True,True,0.854967582970758,False,False,1410552,14400,1424940,34324.64590317484,1689304271,17689245,1690729211,17806896,False,34399.666685874574
-3,6,3,0xC62eECc24cb6E84dA2409e945Ddcf7386118c57a,0x8472A9A7632b173c8Cf3a86D3afec50c35548e76,32.67013664024512,True,True,1.0,True,True,2390544,158400,4276932,54657.01617012078,1685660279,17389354,1689937211,17741376,False,51460.635805873986
-5,4,2,0xe81b85CD6903dECCFeA9c4d3Fa87D29BF02e5Cc0,0x8472A9A7632b173c8Cf3a86D3afec50c35548e76,50.4579065179335,True,True,1.0,True,True,1762392,734400,2741592,86149.94572840686,1685878511,17407277,1688620103,17632924,False,78417.91372639078
-1,2,5,0x2608885D09780ebdA5CBd90E3a564f6af5A2b128,0x8472A9A7632b173c8Cf3a86D3afec50c35548e76,5.112910986583873,True,True,1.0,True,True,446400,921600,2849016,8629.427170736268,1685648195,17388365,1688497211,17622793,False,8233.814132555775
4,7,3,0xf1cE58c7eEE3208388Cea3EF0F5b2C17847351Cf,0x8472A9A7632b173c8Cf3a86D3afec50c35548e76,11.729139157065056,True,True,1.0,True,True,717360,158400,1941348,18856.87520230258,1686383063,17448669,1688324411,17608561,False,16628.72119779733
-5,-2,20,0xB221963CAD5856c657647D7126A6Fe6A47CaC773,0x8472A9A7632b173c8Cf3a86D3afec50c35548e76,54.42181425650965,True,True,1.0,False,False,241488,21372,265224,52916.18536798874,1685732351,17395266,1685997575,17417030,False,51320.95995749534
-4,-1,23,0xB221963CAD5856c657647D7126A6Fe6A47CaC773,0x8472A9A7632b173c8Cf3a86D3afec50c35548e76,85.09879873953105,True,True,0.5236980864008982,False,False,96780,28800,126648,53429.3742657349,1686078563,17423677,1686205211,17434068,False,51070.522431116486
-2,1,25,0xB221963CAD5856c657647D7126A6Fe6A47CaC773,0x8472A9A7632b173c8Cf3a86D3afec50c35548e76,100.78081933813364,True,True,1.0,False,False,49260,20220,70848,51595.991173374365,1686316763,17443223,1686387611,17449042,False,49291.8026269321
-3,1,10,0xb04E51DF952Ed99e57367b99790FADF525413D40,0x8472A9A7632b173c8Cf3a86D3afec50c35548e76,34.11281230821134,True,True,1.0,False,False,460800,13584,503064,58037.90351407223,1685881907,17407553,1686384971,17448823,False,12861.562383684866
4,7,11,0xb04E51DF952Ed99e57367b99790FADF525413D40,0x8472A9A7632b173c8Cf3a86D3afec50c35548e76,70.87407726688,True,True,1.0,True,True,720816,158400,1190640,12861.562383684866,1686384971,17448823,1687575611,17546878,False,11886.536690509616
1,4,3,0x7B820a9e6c5A9d1344076B4B410FFB92741e7Fb0,0x8472A9A7632b173c8Cf3a86D3afec50c35548e76,44.1338011716224,True,True,1.0,True,True,228228,736572,1075620,73069.38956937891,1686341591,17445260,1687417211,17533837,False,66912.36218163921
1,10,1,0xFA32E13FCB7A233fE26Ae6A66F3166861181D39B,0x8472A9A7632b173c8Cf3a86D3afec50c35548e76,4.790142720224545,True,True,0.8403420877148907,False,False,917244,43200,960444,7703.749117181782,1686370367,17447623,1687330811,17526709,False,7287.024042490542
