n1,n2,loan_id,user,market,collateral_deposited,went_below_sl,went_into_sl,sl_max_depth,went_below_then_above_sl,into_then_above_sl,time_in_sl,time_below_sl,total_loan_time,initial_debt,loan_start_time,loan_start_block,loan_end_time,loan_end_block,should_be_liquidated,end_debt
-4,-1,1,0xF20317D989D2577bfb7c3487B47D5f93590B76DC,0x8472A9A7632b173c8Cf3a86D3afec50c35548e76,43.08886581955956,False,True,0.0,False,False,300,0,312,75000.0,1685469347,17373655,1685469659,17373681,False,75000.01708256174
13,16,1,0x35A74Cf36C28E10100b68A3d75C03C3d18a3400a,0x8472A9A7632b173c8Cf3a86D3afec50c35548e76,16.885680517101775,False,True,0.5864101632956052,False,True,86400,0,2227788,25000.0,1692322031,17938698,1694549819,18122873,False,25058.42775441536
16,25,1,0xF9605D8c4c987d7Cb32D0d11FbCb8EeeB1B22D5d,0x8472A9A7632b173c8Cf3a86D3afec50c35548e76,1.0822203411025366,False,True,0.05189219222274063,False,True,43200,0,13396800,1500.0,1692393503,17944601,1705790303,19051106,False,1557.744434912538
-3,6,1,0xA68736eC0C3e9717A125cB4f26b3211CED15f1Cd,0x8472A9A7632b173c8Cf3a86D3afec50c35548e76,0.9550602550677894,False,True,0.03804882474556216,False,True,518400,0,1026420,1600.0,1688399231,17614715,1689425651,17699207,False,2.0086160572668113
8,11,1,0x9964ad612c1EcF318efd14766851548bAb8D05D3,0x8472A9A7632b173c8Cf3a86D3afec50c35548e76,2.87694068204498,False,True,0.3602579005064451,False,True,158400,0,6578796,4400.0,1685770607,17398417,1692349403,17940954,False,4445.28063950069
6,15,5,0xcD14610e6Ab9bDF20C674B1D6b47C4E4f4C641d8,0x8472A9A7632b173c8Cf3a86D3afec50c35548e76,250.0,False,True,0.3410869514254396,False,True,374400,0,2527380,380439.63369970175,1686139763,17428698,1688667143,17636798,False,382116.8775741066
0,4,1,0x24F25366213981878E791786f9f9A8Bd3fbA41dA,0x8472A9A7632b173c8Cf3a86D3afec50c35548e76,29.682528391281338,False,True,0.2079464408481726,False,True,623160,0,1442568,49343.51362603781,1684518851,17295436,1685961419,17414067,False,50662.81209826868
-3,1,2,0x24F25366213981878E791786f9f9A8Bd3fbA41dA,0x8472A9A7632b173c8Cf3a86D3afec50c35548e76,29.682528391281338,False,True,0.5067984004962849,False,False,404604,0,5298288,50662.81209826868,1685961419,17414067,1691259707,17850824,False,44000.0
16,19,4,0x24F25366213981878E791786f9f9A8Bd3fbA41dA,0x8472A9A7632b173c8Cf3a86D3afec50c35548e76,56.540068339180515,False,True,0.1318526868148653,False,True,43200,0,8372088,49023.573953941,1691472959,17868452,1699845047,18560216,False,49705.315688536815
10,58,4,0xC5781d387b8381464696E95ce2fe85Ab274662b9,0x8472A9A7632b173c8Cf3a86D3afec50c35548e76,51.487161941662414,False,True,0.12203864086722806,False,True,3614400,0,6591912,63000.0,1692457715,17949910,1699049627,18494437,False,46259.03063064064
12,21,6,0x30A20b0281Df39e6337c3cbE5865E6fdCDcCe3f1,0x8472A9A7632b173c8Cf3a86D3afec50c35548e76,13.60215051682686,False,True,0.0,False,False,4260,0,2551080,19655.909738353592,1691868803,17901190,1694419883,18112136,False,19703.670400411935
13,22,11,0x30A20b0281Df39e6337c3cbE5865E6fdCDcCe3f1,0x8472A9A7632b173c8Cf3a86D3afec50c35548e76,14.65317548841422,False,True,0.0,False,True,75864,0,291864,21043.87399202421,1695307007,18185184,1695598871,18209295,False,21053.309344204637
0,9,1,0xf10918Fc1725A65960db2b906b4868a0Fdbb6870,0x8472A9A7632b173c8Cf3a86D3afec50c35548e76,17.828996988216723,False,True,0.0,False,True,129336,0,434592,28927.909796227475,1685099075,17343153,1685533667,17378954,False,33786.299332379385
-3,6,2,0xf10918Fc1725A65960db2b906b4868a0Fdbb6870,0x8472A9A7632b173c8Cf3a86D3afec50c35548e76,20.3328331266469,False,True,0.25221401269795957,False,True,365172,0,537972,33786.299332379385,1685533667,17378954,1686071639,17423107,False,36056.1159457257
2,11,3,0xf10918Fc1725A65960db2b906b4868a0Fdbb6870,0x8472A9A7632b173c8Cf3a86D3afec50c35548e76,22.831617364353,False,True,0.14434119503940313,False,False,119976,0,414360,36056.1159457257,1686071639,17423107,1686485999,17457123,False,36071.01957306337
4,13,4,0xf10918Fc1725A65960db2b906b4868a0Fdbb6870,0x8472A9A7632b173c8Cf3a86D3afec50c35548e76,23.41894013105827,False,True,0.0,False,True,87828,0,102228,36071.01957306337,1686485999,17457123,1686588227,17465528,False,36074.422857228776
